Domain,Status,Response Code
bamboo.gmarket.co.kr,Error 403,403
ns2.gmarket.co.kr,Timeout,N/A
realitem2.gmarket.co.kr,Error 503,503
item2.gmarket.co.kr,Error 403,403
ggbank.gmarket.co.kr,Success,200
atsssl.gmarket.co.kr,Connection Error,N/A
massmail33.gmarket.co.kr,Timeout,N/A
claim.gmarket.co.kr,Error 403,403
devmescrow.gmarket.co.kr,Timeout,N/A
frontapi.gmarket.co.kr,Error 400,400
mail10.gmarket.co.kr,Timeout,N/A
netmail10gm.gmarket.co.kr,Timeout,N/A
ns.gmarket.co.kr,Timeout,N/A
netmail42.gmarket.co.kr,Timeout,N/A
netmail56.gmarket.co.kr,Timeout,N/A
devenglish.gmarket.co.kr,Timeout,N/A
netmail04gm.gmarket.co.kr,Timeout,N/A
netmail05gm.gmarket.co.kr,Timeout,N/A
realescrow.gmarket.co.kr,Success,200
trust.gmarket.co.kr,Timeout,N/A
www.gclaim.gmarket.co.kr,Connection Error,N/A
netmail34.gmarket.co.kr,Timeout,N/A
netmail35.gmarket.co.kr,Timeout,N/A
fnp.gmarket.co.kr,Error 404,404
massmail15.gmarket.co.kr,Timeout,N/A
netmail035gh.gmarket.co.kr,Timeout,N/A
netmail11gm.gmarket.co.kr,Timeout,N/A
recruit.gmarket.co.kr,Timeout,N/A
gim.gmarket.co.kr,Error 403,403
adscriptdev.gmarket.co.kr,Timeout,N/A
massmail23.gmarket.co.kr,Timeout,N/A
proxy.gmarket.co.kr,Timeout,N/A
dwa.item.gmarket.co.kr,Error 403,403
checkout.gmarket.co.kr,Success,200
apif.gmarket.co.kr,Connection Error,N/A
gmember.gmarket.co.kr,Success,200
gmapi.gmarket.co.kr,Error 403,403
www.massmail21.gmarket.co.kr,Connection Error,N/A
montelena-rcv.gmarket.co.kr,Success,200
netmail17gm.gmarket.co.kr,Timeout,N/A
realgpromotion.gmarket.co.kr,Success,200
category.gmarket.co.kr,Success,200
smilecashweb.gmarket.co.kr,Connection Error,N/A
massmail21.gmarket.co.kr,Error 472,472
dadispapi.gmarket.co.kr,Error 404,404
memberapi.gmarket.co.kr,Timeout,N/A
netmail033gh.gmarket.co.kr,Timeout,N/A
bampic.gmarket.co.kr,Error 403,403
www.diary2.gmarket.co.kr,Connection Error,N/A
netmail55.gmarket.co.kr,Timeout,N/A
clicklog.gmarket.co.kr,Connection Error,N/A
company.gmarket.co.kr,Success,200
mail7.gmarket.co.kr,Error 472,472
massmail34.gmarket.co.kr,Timeout,N/A
minishop.gmarket.co.kr,Success,200
retmail.gmarket.co.kr,Timeout,N/A
gdimg5.gmarket.co.kr,Success,200
shop.gmarket.co.kr,Error 403,403
goodsimgen.gmarket.co.kr,Success,200
sslgdimg5.gmarket.co.kr,Success,200
com.gmarket.co.kr,Timeout,N/A
netmail032gh.gmarket.co.kr,Timeout,N/A
scriptdev.gmarket.co.kr,Timeout,N/A
signinssl.gmarket.co.kr,Success,200
cb.gmarket.co.kr,Connection Error,N/A
