Domain,W_Protocol,Status,Response Code
a.naver.com,http://a.naver.com,Connection Error,N/A
1.naver.com,http://1.naver.com,Connection Error,N/A
5mg.naver.com,http://5mg.naver.com,Connection Error,N/A
a.g.naver.com,http://a.g.naver.com,Connection Error,N/A
a50760.naver.com,http://a50760.naver.com,Connection Error,N/A
2.naver.com,http://2.naver.com,Connection Error,N/A
a50756.naver.com,http://a50756.naver.com,Connection Error,N/A
a50757.naver.com,http://a50757.naver.com,Connection Error,N/A
a50752.naver.com,http://a50752.naver.com,Connection Error,N/A
a50758.naver.com,http://a50758.naver.com,Connection Error,N/A
a50759.naver.com,http://a50759.naver.com,Connection Error,N/A
a.dns2.naver.com,http://a.dns2.naver.com,Connection Error,N/A
100.naver.com,http://100.naver.com,Timeout,N/A
a11ybooth.naver.com,http://a11ybooth.naver.com,Timeout,N/A
12app.naver.com,http://12app.naver.com,Timeout,N/A
a51180.naver.com,http://a51180.naver.com,Timeout,N/A
a51177.naver.com,http://a51177.naver.com,Timeout,N/A
a51021.naver.com,http://a51021.naver.com,Timeout,N/A
a51182.naver.com,http://a51182.naver.com,Timeout,N/A
a51192.naver.com,http://a51192.naver.com,Timeout,N/A
a51179.naver.com,http://a51179.naver.com,Timeout,N/A
a51183.naver.com,http://a51183.naver.com,Timeout,N/A
a51185.naver.com,http://a51185.naver.com,Timeout,N/A
a51178.naver.com,http://a51178.naver.com,Timeout,N/A
a51174.naver.com,http://a51174.naver.com,Timeout,N/A
a51193.naver.com,http://a51193.naver.com,Timeout,N/A
a51194.naver.com,http://a51194.naver.com,Timeout,N/A
a51195.naver.com,http://a51195.naver.com,Timeout,N/A
a51506.naver.com,http://a51506.naver.com,Connection Error,N/A
abtest-cafe.io.naver.com,https://abtest-cafe.io.naver.com,Success,404
ac-papago.naver.com,http://ac-papago.naver.com,Success,500
ac.dict.naver.com,http://ac.dict.naver.com,Success,403
ac.endic.naver.com,http://ac.endic.naver.com,Connection Error,N/A
ac.stock.naver.com,http://ac.stock.naver.com,Success,404
academic.naver.com,https://academic.naver.com,Success,200
accessibility.naver.com,http://accessibility.naver.com,Connection Error,N/A
account.pmang.game.naver.com,https://account.pmang.game.naver.com,Success,404
accounts.commerce.naver.com,https://accounts.commerce.naver.com,Success,200
acct.naver.com,https://acct.naver.com,Success,200
a51507.naver.com,http://a51507.naver.com,Connection Error,N/A
ace.naver.com,https://ace.naver.com,Success,200
ad.naver.com,http://ad.naver.com,Connection Error,N/A
ad.search.naver.com,http://ad.search.naver.com,Success,200
ad2.nbms.naver.com,http://ad2.nbms.naver.com,Connection Error,N/A
ad-creative.gfa.naver.com,https://ad-creative.gfa.naver.com,Success,200
adcenter.shopping.naver.com,https://adcenter.shopping.naver.com,Success,200
adcr.naver.com,http://adcr.naver.com,Success,403
admin.blog.naver.com,http://admin.blog.naver.com,Success,404
a51196.naver.com,http://a51196.naver.com,Timeout,N/A
a51199.naver.com,http://a51199.naver.com,Timeout,N/A
a51201.naver.com,http://a51201.naver.com,Timeout,N/A
a51232.naver.com,http://a51232.naver.com,Timeout,N/A
a51475.naver.com,http://a51475.naver.com,Timeout,N/A
a51476.naver.com,http://a51476.naver.com,Timeout,N/A
a51248.naver.com,http://a51248.naver.com,Timeout,N/A
a51466.naver.com,http://a51466.naver.com,Timeout,N/A
a51464.naver.com,http://a51464.naver.com,Timeout,N/A
a51469.naver.com,http://a51469.naver.com,Timeout,N/A
a51465.naver.com,http://a51465.naver.com,Timeout,N/A
a51467.naver.com,http://a51467.naver.com,Timeout,N/A
a51210.naver.com,http://a51210.naver.com,Timeout,N/A
a51477.naver.com,http://a51477.naver.com,Timeout,N/A
alpha-ace.naver.com,http://alpha-ace.naver.com,Connection Error,N/A
advertiser.naver.com,http://advertiser.naver.com,Connection Error,N/A
alk.naver.com,http://alk.naver.com,Connection Error,N/A
alpha-api.game.naver.com,http://alpha-api.game.naver.com,Connection Error,N/A
alpha-api.gdp.game.naver.com,http://alpha-api.gdp.game.naver.com,Connection Error,N/A
alpha-bill.naver.com,http://alpha-bill.naver.com,Connection Error,N/A
admin.pay.naver.com,http://admin.pay.naver.com,Success,200
alpha-cc.naver.com,http://alpha-cc.naver.com,Connection Error,N/A
alpha-checkout.naver.com,http://alpha-checkout.naver.com,Connection Error,N/A
alpha-billx.naver.com,http://alpha-billx.naver.com,Success,200
alpha-inoti.naver.com,http://alpha-inoti.naver.com,Connection Error,N/A
alpha-lcs.naver.com,http://alpha-lcs.naver.com,Connection Error,N/A
alpha-m.help.pay.naver.com,http://alpha-m.help.pay.naver.com,Connection Error,N/A
alpha-m.pay.naver.com,http://alpha-m.pay.naver.com,Connection Error,N/A
alpha-external-app-api.pay.naver.com,http://alpha-external-app-api.pay.naver.com,Success,200
alpha-mts.naver.com,http://alpha-mts.naver.com,Connection Error,N/A
alpha-pay.naver.com,http://alpha-pay.naver.com,Connection Error,N/A
adpost.naver.com,https://adpost.naver.com,Success,200
aldic.naver.com,https://aldic.naver.com,Success,200
alpha-www.game.naver.com,http://alpha-www.game.naver.com,Request Error: Exceeded 30 redirects.,N/A
alpha.api.bill.naver.com,http://alpha.api.bill.naver.com,Connection Error,N/A
alpha.help.admin.checkout.naver.com,http://alpha.help.admin.checkout.naver.com,Connection Error,N/A
alpha.help.admin.pay.naver.com,http://alpha.help.admin.pay.naver.com,Connection Error,N/A
alpha.help.checkout.naver.com,http://alpha.help.checkout.naver.com,Connection Error,N/A
alpha.help.pay.naver.com,http://alpha.help.pay.naver.com,Connection Error,N/A
alpha.help.sell.storefarm.naver.com,http://alpha.help.sell.storefarm.naver.com,Connection Error,N/A
alpha.help.shopping.naver.com,http://alpha.help.shopping.naver.com,Connection Error,N/A
alpha.qr.naver.com,http://alpha.qr.naver.com,Connection Error,N/A
alpha.searchad.help.naver.com,http://alpha.searchad.help.naver.com,Connection Error,N/A
alpha.sell.storefarm.naver.com,http://alpha.sell.storefarm.naver.com,Connection Error,N/A
agency.booking.naver.com,http://agency.booking.naver.com,Connection Error,N/A
alpha2-pay.naver.com,http://alpha2-pay.naver.com,Connection Error,N/A
alpha2.sell.storefarm.naver.com,http://alpha2.sell.storefarm.naver.com,Connection Error,N/A
ams.rmcnmv.naver.com,http://ams.rmcnmv.naver.com,Connection Error,N/A
analytics.naver.com,https://analytics.naver.com,Success,200
api-blog.blog.naver.com,http://api-blog.blog.naver.com,Success,404
api-guestbook.blog.naver.com,http://api-guestbook.blog.naver.com,Success,404
adcms.naver.com,http://adcms.naver.com,Timeout,N/A
api-gw.sports.naver.com,http://api-gw.sports.naver.com,Success,404
api-moment.blog.naver.com,http://api-moment.blog.naver.com,Success,404
api-shopping-kitcat.io.naver.com,https://api-shopping-kitcat.io.naver.com,Success,404
api.appnotice.naver.com,http://api.appnotice.naver.com,Success,404
admin.checkout.naver.com,http://admin.checkout.naver.com,Timeout,N/A
api.band.naver.com,http://api.band.naver.com,Success,404
api.bill.naver.com,http://api.bill.naver.com,Success,403
api.biz-catcher.naver.com,http://api.biz-catcher.naver.com,Success,404
api.booking.naver.com,http://api.booking.naver.com,Success,403
api.blog.naver.com,http://api.blog.naver.com,Success,200
api.booking.naver.com.io.naver.com,http://api.booking.naver.com.io.naver.com,Success,404
api.checkout.naver.com,http://api.checkout.naver.com,Success,404
api.channel-plugin.naver.com,https://api.channel-plugin.naver.com,Success,404
api.chzzk.naver.com,http://api.chzzk.naver.com,Connection Error,N/A
api.cloud.naver.com,http://api.cloud.naver.com,Success,404
api.contact.naver.com.io.naver.com,http://api.contact.naver.com.io.naver.com,Success,404
api.contact.naver.com,https://api.contact.naver.com,Success,401
api.game.naver.com,http://api.game.naver.com,Success,404
api.happybean.naver.com,http://api.happybean.naver.com,Success,404
api.memo.naver.com,http://api.memo.naver.com,Connection Error,N/A
adns1.naver.com,http://adns1.naver.com,Timeout,N/A
adns2.naver.com,http://adns2.naver.com,Timeout,N/A
api.mobilecore.naver.com.io.naver.com,http://api.mobilecore.naver.com.io.naver.com,Success,404
api.mobilecore.naver.com,http://api.mobilecore.naver.com,Success,404
api.nid.naver.com,http://api.nid.naver.com,Connection Error,N/A
advertiser.da.naver.com,http://advertiser.da.naver.com,Timeout,N/A
alpha-app-api.pay.naver.com,http://alpha-app-api.pay.naver.com,Timeout,N/A
api.nstamp.naver.com,http://api.nstamp.naver.com,Connection Error,N/A
alpha-ec.naver.com,http://alpha-ec.naver.com,Timeout,N/A
alpha-member.playnet.naver.com,http://alpha-member.playnet.naver.com,Timeout,N/A
alpha-mileage.naver.com,http://alpha-mileage.naver.com,Timeout,N/A
api.ogqmarket.naver.com,http://api.ogqmarket.naver.com,Success,404
alpha-scl.naver.com,http://alpha-scl.naver.com,Timeout,N/A
alpha-sp.naver.com,http://alpha-sp.naver.com,Timeout,N/A
alpha-wbs.naver.com,http://alpha-wbs.naver.com,Timeout,N/A
api.tools.naver.com,http://api.tools.naver.com,Connection Error,N/A
api.se2.naver.com,http://api.se2.naver.com,Success,404
app-tracking-gfa-collector-stg.naver.com,http://app-tracking-gfa-collector-stg.naver.com,Success,404
app-api.pay.naver.com,http://app-api.pay.naver.com,Success,200
app-tracking-gfa-collector.naver.com,http://app-tracking-gfa-collector.naver.com,Success,404
alpha-www.playnet.naver.com,http://alpha-www.playnet.naver.com,Timeout,N/A
api.naver.com,https://api.naver.com,Success,404
app.music.naver.com,http://app.music.naver.com,Connection Error,N/A
app.nbooks.naver.com,http://app.nbooks.naver.com,Success,404
api.playnet.naver.com,http://api.playnet.naver.com,Connection Error,N/A
api.scopic.naver.com,https://api.scopic.naver.com,Success,403
appdev.naver.com,http://appdev.naver.com,Connection Error,N/A
appauth.naver.com,http://appauth.naver.com,Connection Error,N/A
appfactory.naver.com,http://appfactory.naver.com,Connection Error,N/A
api.searchad.naver.com,https://api.searchad.naver.com,Success,404
apps.naver.com,http://apps.naver.com,Connection Error,N/A
appstore.naver.com,http://appstore.naver.com,Connection Error,N/A
aqfts.naver.com,http://aqfts.naver.com,Connection Error,N/A
archlord2.game.naver.com,http://archlord2.game.naver.com,Connection Error,N/A
apis.naver.com,https://apis.naver.com,Success,200
app.calendar.naver.com,https://app.calendar.naver.com,Success,200
app.cloud.naver.com,https://app.cloud.naver.com,Success,200
article.naver.com,http://article.naver.com,Connection Error,N/A
app.mail.naver.com,https://app.mail.naver.com,Success,200
applink.pay.naver.com,https://applink.pay.naver.com,Success,200
archeage.game.naver.com,http://archeage.game.naver.com,Connection Error,N/A
ardic.naver.com,https://ardic.naver.com,Success,200
astellia.nexon.game.naver.com,http://astellia.nexon.game.naver.com,Connection Error,N/A
async.naver.com,http://async.naver.com,Connection Error,N/A
alpha2-checkout.naver.com,http://alpha2-checkout.naver.com,Timeout,N/A
auction1.land.naver.com,http://auction1.land.naver.com,Connection Error,N/A
